1077 - scheduler - INFO - berth information: 
1077 - scheduler - INFO - berth_id: 0 at (3, 98), loading speed: 1
1077 - scheduler - INFO - berth_id: 1 at (92, 3), loading speed: 1
1077 - scheduler - INFO - berth_id: 2 at (92, 194), loading speed: 1
1077 - scheduler - INFO - 
1079 - scheduler - INFO - zhen 1 boat_id:0  lboat (2, 2), Boat_Direction.RIGHT!

1159 - scheduler - INFO - id: 1, target_gds:gds: (165, 25) 194
1163 - scheduler - INFO - id: 4, target_gds:gds: (100, 76) 92
1165 - scheduler - INFO - id: 2, target_gds:gds: (83, 137) 94
1167 - scheduler - INFO - id: 5, target_gds:gds: (126, 176) 44
1313 - scheduler - INFO - id: 5, target_gds:gds: (105, 134) 2
1362 - scheduler - INFO - id: 2, target_gds:gds: (48, 163) 40
1369 - scheduler - INFO - id: 0, target_gds:gds: (26, 151) 92
1371 - scheduler - INFO - id: 3, target_gds:gds: (43, 126) 80
1392 - scheduler - INFO - id: 4, target_gds:gds: (119, 45) 70
1435 - scheduler - INFO - id: 1, target_gds:gds: (99, 15) 91
1488 - scheduler - INFO - id: 1, target_gds:gds: (93, 65) 75
1520 - scheduler - INFO - id: 5, target_gds:gds: (110, 190) 84
1562 - scheduler - INFO - id: 3, target_gds:gds: (9, 132) 199
1583 - scheduler - INFO - id: 5, target_gds:gds: (116, 103) 191
1588 - scheduler - INFO - id: 2, target_gds:gds: (112, 171) 68
1590 - scheduler - INFO - id: 0, target_gds:gds: (16, 98) 94
1590 - scheduler - INFO - id: 4, target_gds:gds: (68, 22) 190
1721 - scheduler - INFO - id: 1, target_gds:gds: (104, 6) 60
1735 - scheduler - INFO - id: 3, target_gds:gds: (5, 138) 72
1777 - scheduler - INFO - id: 2, target_gds:gds: (117, 185) 44
1784 - scheduler - INFO - id: 1, target_gds:gds: (137, 24) 183
1785 - scheduler - INFO - id: 0, target_gds:gds: (16, 137) 84
1793 - scheduler - INFO - id: 4, target_gds:gds: (83, 19) 57
1872 - scheduler - INFO - id: 3, target_gds:gds: (29, 93) 89
1879 - scheduler - INFO - id: 4, target_gds:gds: (81, 47) 84
1881 - scheduler - INFO - id: 2, target_gds:gds: (162, 179) 91
1941 - scheduler - INFO - id: 0, target_gds:gds: (34, 74) 97
1975 - scheduler - INFO - id: 1, target_gds:gds: (88, 35) 198
1994 - scheduler - INFO - id: 5, target_gds:gds: (151, 133) 196
